id,category,subcategory,clean_text,corrupt_text,clean_label,corrupt_label,target_tokens,target_positions,difficulty,expected_layer_sensitivity,notes
1,lexical,strong_swap,The cinema experience was incredible,The cinema experience was abysmal,positive,negative,"['incredible', 'abysmal']",[5],easy,"[1, 2, 3]",Strong positive/negative swap: incredible vs abysmal
2,lexical,strong_swap,The quality was wonderful,The quality was abysmal,positive,negative,"['wonderful', 'abysmal']",[4],easy,"[1, 2, 3]",Strong positive/negative swap: wonderful vs abysmal
3,lexical,strong_swap,The book was fantastic,The book was horrible,positive,negative,"['fantastic', 'horrible']",[4],easy,"[1, 2, 3]",Strong positive/negative swap: fantastic vs horrible
4,lexical,strong_swap,The cinema experience was spectacular,The cinema experience was deplorable,positive,negative,"['spectacular', 'deplorable']",[5],easy,"[1, 2, 3]",Strong positive/negative swap: spectacular vs deplorable
5,lexical,strong_swap,"Overall, dinner was superb","Overall, dinner was pathetic",positive,negative,"['superb', 'pathetic']",[4],easy,"[1, 2, 3]",Strong positive/negative swap: superb vs pathetic
6,lexical,strong_swap,I found it spectacular,I found it abysmal,positive,negative,"['spectacular', 'abysmal']",[4],easy,"[1, 2, 3]",Strong positive/negative swap: spectacular vs abysmal
7,lexical,strong_swap,Our dining experience was spectacular,Our dining experience was deplorable,positive,negative,"['spectacular', 'deplorable']",[5],easy,"[1, 2, 3]",Strong positive/negative swap: spectacular vs deplorable
8,lexical,strong_swap,I found the film quite incredible,I found the film quite awful,positive,negative,"['incredible', 'awful']",[6],easy,"[1, 2, 3]",Strong positive/negative swap: incredible vs awful
9,lexical,strong_swap,I found the service spectacular,I found the service terrible,positive,negative,"['spectacular', 'terrible']",[5],easy,"[1, 2, 3]",Strong positive/negative swap: spectacular vs terrible
10,lexical,strong_swap,I thought the film was outstanding,I thought the film was awful,positive,negative,"['outstanding', 'awful']",[6],easy,"[1, 2, 3]",Strong positive/negative swap: outstanding vs awful
11,lexical,strong_swap,This item is excellent,This item is pathetic,positive,negative,"['excellent', 'pathetic']",[4],easy,"[1, 2, 3]",Strong positive/negative swap: excellent vs pathetic
12,lexical,strong_swap,The cinema experience was superb,The cinema experience was dreadful,positive,negative,"['superb', 'dreadful']",[5],easy,"[1, 2, 3]",Strong positive/negative swap: superb vs dreadful
13,lexical,strong_swap,The meal was absolutely excellent,The meal was absolutely appalling,positive,negative,"['excellent', 'appalling']",[5],easy,"[1, 2, 3]",Strong positive/negative swap: excellent vs appalling
14,lexical,strong_swap,"Overall, dinner was fantastic","Overall, dinner was pathetic",positive,negative,"['fantastic', 'pathetic']",[4],easy,"[1, 2, 3]",Strong positive/negative swap: fantastic vs pathetic
15,lexical,strong_swap,The meal was absolutely excellent,The meal was absolutely pathetic,positive,negative,"['excellent', 'pathetic']",[5],easy,"[1, 2, 3]",Strong positive/negative swap: excellent vs pathetic
16,lexical,strong_swap,This item is excellent,This item is terrible,positive,negative,"['excellent', 'terrible']",[4],easy,"[1, 2, 3]",Strong positive/negative swap: excellent vs terrible
17,lexical,strong_swap,I found the novel incredible,I found the novel pathetic,positive,negative,"['incredible', 'pathetic']",[5],easy,"[1, 2, 3]",Strong positive/negative swap: incredible vs pathetic
18,lexical,strong_swap,I thought the film was brilliant,I thought the film was atrocious,positive,negative,"['brilliant', 'atrocious']",[6],easy,"[1, 2, 3]",Strong positive/negative swap: brilliant vs atrocious
19,lexical,strong_swap,"Overall, the book felt outstanding","Overall, the book felt dreadful",positive,negative,"['outstanding', 'dreadful']",[5],easy,"[1, 2, 3]",Strong positive/negative swap: outstanding vs dreadful
20,lexical,strong_swap,The writing was spectacular,The writing was deplorable,positive,negative,"['spectacular', 'deplorable']",[4],easy,"[1, 2, 3]",Strong positive/negative swap: spectacular vs deplorable
21,lexical,strong_swap,The product was spectacular,The product was disgusting,positive,negative,"['spectacular', 'disgusting']",[4],easy,"[1, 2, 3]",Strong positive/negative swap: spectacular vs disgusting
22,lexical,strong_swap,The cinema experience was fantastic,The cinema experience was disgusting,positive,negative,"['fantastic', 'disgusting']",[5],easy,"[1, 2, 3]",Strong positive/negative swap: fantastic vs disgusting
23,lexical,strong_swap,The writing was brilliant,The writing was terrible,positive,negative,"['brilliant', 'terrible']",[4],easy,"[1, 2, 3]",Strong positive/negative swap: brilliant vs terrible
24,lexical,strong_swap,I thought the film was magnificent,I thought the film was terrible,positive,negative,"['magnificent', 'terrible']",[6],easy,"[1, 2, 3]",Strong positive/negative swap: magnificent vs terrible
25,lexical,strong_swap,The movie was spectacular,The movie was disgusting,positive,negative,"['spectacular', 'disgusting']",[4],easy,"[1, 2, 3]",Strong positive/negative swap: spectacular vs disgusting
26,lexical,strong_swap,The writing was amazing,The writing was horrible,positive,negative,"['amazing', 'horrible']",[4],easy,"[1, 2, 3]",Strong positive/negative swap: amazing vs horrible
27,lexical,strong_swap,The movie was spectacular,The movie was atrocious,positive,negative,"['spectacular', 'atrocious']",[4],easy,"[1, 2, 3]",Strong positive/negative swap: spectacular vs atrocious
28,lexical,strong_swap,The product was outstanding,The product was awful,positive,negative,"['outstanding', 'awful']",[4],easy,"[1, 2, 3]",Strong positive/negative swap: outstanding vs awful
29,lexical,strong_swap,The product was incredible,The product was atrocious,positive,negative,"['incredible', 'atrocious']",[4],easy,"[1, 2, 3]",Strong positive/negative swap: incredible vs atrocious
30,lexical,strong_swap,I found the service outstanding,I found the service pathetic,positive,negative,"['outstanding', 'pathetic']",[5],easy,"[1, 2, 3]",Strong positive/negative swap: outstanding vs pathetic
31,lexical,strong_swap,This movie is absolutely superb,This movie is absolutely abysmal,positive,negative,"['superb', 'abysmal']",[5],easy,"[1, 2, 3]",Strong positive/negative swap: superb vs abysmal
32,lexical,strong_swap,The cinema experience was superb,The cinema experience was pathetic,positive,negative,"['superb', 'pathetic']",[5],easy,"[1, 2, 3]",Strong positive/negative swap: superb vs pathetic
33,lexical,strong_swap,The movie was incredible,The movie was abysmal,positive,negative,"['incredible', 'abysmal']",[4],easy,"[1, 2, 3]",Strong positive/negative swap: incredible vs abysmal
34,lexical,strong_swap,"Overall, the movie felt incredible","Overall, the movie felt appalling",positive,negative,"['incredible', 'appalling']",[5],easy,"[1, 2, 3]",Strong positive/negative swap: incredible vs appalling
35,lexical,strong_swap,"Overall, the book felt wonderful","Overall, the book felt atrocious",positive,negative,"['wonderful', 'atrocious']",[5],easy,"[1, 2, 3]",Strong positive/negative swap: wonderful vs atrocious
36,lexical,strong_swap,I thought it was outstanding,I thought it was terrible,positive,negative,"['outstanding', 'terrible']",[5],easy,"[1, 2, 3]",Strong positive/negative swap: outstanding vs terrible
37,lexical,strong_swap,I thought the plot was outstanding,I thought the plot was deplorable,positive,negative,"['outstanding', 'deplorable']",[6],easy,"[1, 2, 3]",Strong positive/negative swap: outstanding vs deplorable
38,lexical,strong_swap,The meal was absolutely wonderful,The meal was absolutely pathetic,positive,negative,"['wonderful', 'pathetic']",[5],easy,"[1, 2, 3]",Strong positive/negative swap: wonderful vs pathetic
39,lexical,strong_swap,I found the novel outstanding,I found the novel abysmal,positive,negative,"['outstanding', 'abysmal']",[5],easy,"[1, 2, 3]",Strong positive/negative swap: outstanding vs abysmal
40,lexical,strong_swap,The movie was amazing,The movie was awful,positive,negative,"['amazing', 'awful']",[4],easy,"[1, 2, 3]",Strong positive/negative swap: amazing vs awful
41,lexical,strong_swap,I thought the plot was excellent,I thought the plot was atrocious,positive,negative,"['excellent', 'atrocious']",[6],easy,"[1, 2, 3]",Strong positive/negative swap: excellent vs atrocious
42,lexical,strong_swap,The writing was fantastic,The writing was abysmal,positive,negative,"['fantastic', 'abysmal']",[4],easy,"[1, 2, 3]",Strong positive/negative swap: fantastic vs abysmal
43,lexical,strong_swap,This story is brilliant,This story is abysmal,positive,negative,"['brilliant', 'abysmal']",[4],easy,"[1, 2, 3]",Strong positive/negative swap: brilliant vs abysmal
44,lexical,strong_swap,"Overall, dinner was brilliant","Overall, dinner was abysmal",positive,negative,"['brilliant', 'abysmal']",[4],easy,"[1, 2, 3]",Strong positive/negative swap: brilliant vs abysmal
45,lexical,strong_swap,I found the novel superb,I found the novel abysmal,positive,negative,"['superb', 'abysmal']",[5],easy,"[1, 2, 3]",Strong positive/negative swap: superb vs abysmal
46,lexical,strong_swap,I found it wonderful,I found it deplorable,positive,negative,"['wonderful', 'deplorable']",[4],easy,"[1, 2, 3]",Strong positive/negative swap: wonderful vs deplorable
47,lexical,strong_swap,The cinema experience was outstanding,The cinema experience was pathetic,positive,negative,"['outstanding', 'pathetic']",[5],easy,"[1, 2, 3]",Strong positive/negative swap: outstanding vs pathetic
48,lexical,strong_swap,The quality was excellent,The quality was pathetic,positive,negative,"['excellent', 'pathetic']",[4],easy,"[1, 2, 3]",Strong positive/negative swap: excellent vs pathetic
49,lexical,strong_swap,I found the novel brilliant,I found the novel dreadful,positive,negative,"['brilliant', 'dreadful']",[5],easy,"[1, 2, 3]",Strong positive/negative swap: brilliant vs dreadful
50,lexical,strong_swap,I found the film quite spectacular,I found the film quite pathetic,positive,negative,"['spectacular', 'pathetic']",[6],easy,"[1, 2, 3]",Strong positive/negative swap: spectacular vs pathetic
51,lexical,strong_swap,"Overall, the movie felt incredible","Overall, the movie felt awful",positive,negative,"['incredible', 'awful']",[5],easy,"[1, 2, 3]",Strong positive/negative swap: incredible vs awful
52,lexical,strong_swap,The book was fantastic,The book was abysmal,positive,negative,"['fantastic', 'abysmal']",[4],easy,"[1, 2, 3]",Strong positive/negative swap: fantastic vs abysmal
53,lexical,strong_swap,This item is spectacular,This item is appalling,positive,negative,"['spectacular', 'appalling']",[4],easy,"[1, 2, 3]",Strong positive/negative swap: spectacular vs appalling
54,lexical,strong_swap,I found the service spectacular,I found the service awful,positive,negative,"['spectacular', 'awful']",[5],easy,"[1, 2, 3]",Strong positive/negative swap: spectacular vs awful
55,lexical,strong_swap,This movie is absolutely spectacular,This movie is absolutely atrocious,positive,negative,"['spectacular', 'atrocious']",[5],easy,"[1, 2, 3]",Strong positive/negative swap: spectacular vs atrocious
56,lexical,strong_swap,I thought it was magnificent,I thought it was awful,positive,negative,"['magnificent', 'awful']",[5],easy,"[1, 2, 3]",Strong positive/negative swap: magnificent vs awful
57,lexical,strong_swap,The movie was fantastic,The movie was dreadful,positive,negative,"['fantastic', 'dreadful']",[4],easy,"[1, 2, 3]",Strong positive/negative swap: fantastic vs dreadful
58,lexical,strong_swap,The restaurant was spectacular,The restaurant was pathetic,positive,negative,"['spectacular', 'pathetic']",[4],easy,"[1, 2, 3]",Strong positive/negative swap: spectacular vs pathetic
59,lexical,strong_swap,I thought it was amazing,I thought it was abysmal,positive,negative,"['amazing', 'abysmal']",[5],easy,"[1, 2, 3]",Strong positive/negative swap: amazing vs abysmal
60,lexical,strong_swap,"Overall, it was amazing","Overall, it was atrocious",positive,negative,"['amazing', 'atrocious']",[4],easy,"[1, 2, 3]",Strong positive/negative swap: amazing vs atrocious
61,lexical,strong_swap,"Overall, the movie felt fantastic","Overall, the movie felt deplorable",positive,negative,"['fantastic', 'deplorable']",[5],easy,"[1, 2, 3]",Strong positive/negative swap: fantastic vs deplorable
62,lexical,strong_swap,I found the service brilliant,I found the service terrible,positive,negative,"['brilliant', 'terrible']",[5],easy,"[1, 2, 3]",Strong positive/negative swap: brilliant vs terrible
63,lexical,strong_swap,The restaurant was spectacular,The restaurant was pathetic,positive,negative,"['spectacular', 'pathetic']",[4],easy,"[1, 2, 3]",Strong positive/negative swap: spectacular vs pathetic
64,lexical,strong_swap,I found the service excellent,I found the service abysmal,positive,negative,"['excellent', 'abysmal']",[5],easy,"[1, 2, 3]",Strong positive/negative swap: excellent vs abysmal
65,lexical,strong_swap,I thought the film was outstanding,I thought the film was disgusting,positive,negative,"['outstanding', 'disgusting']",[6],easy,"[1, 2, 3]",Strong positive/negative swap: outstanding vs disgusting
66,lexical,strong_swap,Our dining experience was excellent,Our dining experience was dreadful,positive,negative,"['excellent', 'dreadful']",[5],easy,"[1, 2, 3]",Strong positive/negative swap: excellent vs dreadful
67,lexical,strong_swap,I thought the film was spectacular,I thought the film was deplorable,positive,negative,"['spectacular', 'deplorable']",[6],easy,"[1, 2, 3]",Strong positive/negative swap: spectacular vs deplorable
68,lexical,strong_swap,I found it brilliant,I found it abysmal,positive,negative,"['brilliant', 'abysmal']",[4],easy,"[1, 2, 3]",Strong positive/negative swap: brilliant vs abysmal
69,lexical,strong_swap,The quality was amazing,The quality was horrible,positive,negative,"['amazing', 'horrible']",[4],easy,"[1, 2, 3]",Strong positive/negative swap: amazing vs horrible
