id,category,subcategory,clean_text,corrupt_text,clean_label,corrupt_label,target_tokens,target_positions,difficulty,expected_layer_sensitivity,notes,Context
1,lexical,strong_swap,The cinema experience was incredible,The cinema experience was abysmal,positive,negative,"['incredible', 'abysmal']",5,easy,"[1, 2, 3]",Strong positive/negative swap: incredible vs abysmal,Strong positive
2,lexical,strong_swap,The quality was wonderful,The quality was abysmal,positive,negative,"['wonderful', 'abysmal']",4,easy,"[1, 2, 3]",Strong positive/negative swap: wonderful vs abysmal,Strong positive
3,lexical,strong_swap,The book was fantastic,The book was horrible,positive,negative,"['fantastic', 'horrible']",4,easy,"[1, 2, 3]",Strong positive/negative swap: fantastic vs horrible,Strong positive
4,lexical,strong_swap,The cinema experience was spectacular,The cinema experience was deplorable,positive,negative,"['spectacular', 'deplorable']",5,easy,"[1, 2, 3]",Strong positive/negative swap: spectacular vs deplorable,Strong positive
5,lexical,strong_swap,"Overall, dinner was superb","Overall, dinner was pathetic",positive,negative,"['superb', 'pathetic']",4,easy,"[1, 2, 3]",Strong positive/negative swap: superb vs pathetic,Strong positive
6,lexical,strong_swap,I found it spectacular,I found it abysmal,positive,negative,"['spectacular', 'abysmal']",4,easy,"[1, 2, 3]",Strong positive/negative swap: spectacular vs abysmal,Strong positive
7,lexical,strong_swap,Our dining experience was spectacular,Our dining experience was deplorable,positive,negative,"['spectacular', 'deplorable']",5,easy,"[1, 2, 3]",Strong positive/negative swap: spectacular vs deplorable,Strong positive
8,lexical,strong_swap,I found the film quite incredible,I found the film quite awful,positive,negative,"['incredible', 'awful']",6,easy,"[1, 2, 3]",Strong positive/negative swap: incredible vs awful,Strong positive
9,lexical,strong_swap,I found the service spectacular,I found the service terrible,positive,negative,"['spectacular', 'terrible']",5,easy,"[1, 2, 3]",Strong positive/negative swap: spectacular vs terrible,Strong positive
10,lexical,strong_swap,I thought the film was outstanding,I thought the film was awful,positive,negative,"['outstanding', 'awful']",6,easy,"[1, 2, 3]",Strong positive/negative swap: outstanding vs awful,Strong positive
11,lexical,strong_swap,This item is excellent,This item is pathetic,positive,negative,"['excellent', 'pathetic']",4,easy,"[1, 2, 3]",Strong positive/negative swap: excellent vs pathetic,Strong positive
12,lexical,strong_swap,The cinema experience was superb,The cinema experience was dreadful,positive,negative,"['superb', 'dreadful']",5,easy,"[1, 2, 3]",Strong positive/negative swap: superb vs dreadful,Strong positive
13,lexical,strong_swap,The meal was absolutely excellent,The meal was absolutely appalling,positive,negative,"['excellent', 'appalling']",5,easy,"[1, 2, 3]",Strong positive/negative swap: excellent vs appalling,Strong positive
14,lexical,strong_swap,"Overall, dinner was fantastic","Overall, dinner was pathetic",positive,negative,"['fantastic', 'pathetic']",4,easy,"[1, 2, 3]",Strong positive/negative swap: fantastic vs pathetic,Strong positive
15,lexical,strong_swap,The meal was absolutely excellent,The meal was absolutely pathetic,positive,negative,"['excellent', 'pathetic']",5,easy,"[1, 2, 3]",Strong positive/negative swap: excellent vs pathetic,Strong positive
16,lexical,strong_swap,This item is excellent,This item is terrible,positive,negative,"['excellent', 'terrible']",4,easy,"[1, 2, 3]",Strong positive/negative swap: excellent vs terrible,Strong positive
17,lexical,strong_swap,I found the novel incredible,I found the novel pathetic,positive,negative,"['incredible', 'pathetic']",5,easy,"[1, 2, 3]",Strong positive/negative swap: incredible vs pathetic,Strong positive
18,lexical,strong_swap,I thought the film was brilliant,I thought the film was atrocious,positive,negative,"['brilliant', 'atrocious']",6,easy,"[1, 2, 3]",Strong positive/negative swap: brilliant vs atrocious,Strong positive
